,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 21, 2026 - COT Leveraged Funds >>> valid for trades from July 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
GBP,"62,500","179,555","14,252,178,125","105,209","8,350,964,375","67,488","4,218,000,000","37,721","2,357,562,500","29,767",16.58%,28.29%,-3.59%,"1,860,437,500","2,362,755,625",,GBPNZD,EURAUD,EURNZD,NZDCAD,NZDCHF,AUDCAD,AUDCHF,
CAD,"100,000","249,643","18,223,939,000","62,017","4,527,241,000","11,449","1,144,900,000","50,568","5,056,800,000","-39,119",-15.67%,-63.08%,4.34%,"-3,911,900,000","-2,855,687,000",,27.50%,22.20%,18.30%,18.20%,16.70%,14.30%,12.80%,
AUD,"100,000","190,798","12,401,870,000","65,617","4,265,105,000","21,486","2,148,600,000","44,131","4,413,100,000","-22,645",-11.87%,-34.51%,14.61%,"-2,264,500,000","-1,471,925,000",,USDJPY,GBPJPY,GBPUSD,CADCHF,AUDNZD,EURJPY,EURGBP,
NZD,"100,000","62,689","3,761,340,000","23,667","1,420,020,000","8,684","868,400,000","14,983","1,498,300,000","-6,299",-10.05%,-26.62%,11.98%,"-629,900,000","-377,940,000",,2.80%,2.30%,-0.50%,-1.50%,-3.90%,-6.90%,-9.20%,
CHF,"125,000","72,891","10,204,740,000","15,160","2,122,400,000","3,031","378,875,000","12,129","1,516,125,000","-9,098",-12.48%,-60.01%,12.23%,"-1,137,250,000","-1,273,720,000",,EURUSD,NZDJPY,NZDUSD,AUDJPY,AUDUSD,CHFJPY,CADJPY,
JPY,"12,500,000","351,226","29,415,177,500","82,161","6,880,983,750","50,802","635,025,000,000","31,359","391,987,500,000","19,443",5.54%,23.66%,2.15%,"243,037,500,000","1,628,351,250",,-9.70%,-25.10%,-28.00%,-29.10%,-31.90%,-41.80%,-43.40%,
SP500 (E-MINI),"265,000","2,209,656","585,558,840,000","589,031","156,093,215,000","168,599","44,678,735,000","420,432","111,414,480,000","-251,833",-11.40%,-42.75%,-0.72%,"-66,735,745,000","-66,735,745,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","242,084","89,571,080,000","111,126","41,116,620,000","55,399","20,497,630,000","55,727","20,618,990,000",-328,-0.14%,-0.30%,11.46%,"-121,360,000","-121,360,000",,,,,,,,,
US30 (YM),"200,000","78,992","15,798,400,000","18,185","3,637,000,000","9,112","1,822,400,000","9,073","1,814,600,000",39,0.05%,0.21%,9.30%,"7,800,000","7,800,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of April 15, 2025 - COT Leveraged Funds >>> valid for trades from April 21, 2025",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
