,,,,,,,,,,,,,,,,,,,,,,,,
"Week of July 21, 2026 - COT Leveraged Funds >>> valid for trades from July 27, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
NAS100 (NQ MINI),"370,000","245,322","90,769,140,000","131,867","48,790,790,000","47,382","17,531,340,000","84,485","31,259,450,000",-37103,-15.12%,-28.14%,1.38%,"-13,728,110,000","-13,728,110,000",,,,,,,,,
US30 (YM),"200,000","68,213","13,642,600,000","24,174","4,834,800,000","8,264","1,652,800,000","15,910","3,182,000,000",-7646,-11.21%,-31.63%,-19.63%,"-1,529,200,000","-1,529,200,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of March 24, 2026 - COT Leveraged Funds >>> valid for trades from March 30, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,950","36,113","3,573,381,350","28,767","2,846,494,650","10,923","1,080,830,850","17,844","1,765,663,800","-6,921",-19.16%,-24.06%,-3.97%,"-684,832,950","-684,832,950",,AUDNZD,AUDCAD,AUDJPY,AUDUSD,GBPNZD,GBPCAD,AUDCHF,
EUR,"125,000","764,691","110,499,761,228","209,508","30,274,429,770","97,985","12,248,125,000","111,523","13,940,375,000","-13,538",-1.77%,-6.46%,-3.31%,"-1,692,250,000","-1,956,274,845",,54.40%,46.50%,42.30%,40.00%,36.40%,28.50%,27.20%,
GBP,"62,500","238,862","19,902,578,995","79,184","6,597,808,840","47,450","2,965,625,000","31,734","1,983,375,000","15,716",6.58%,19.85%,5.44%,"982,250,000","1,309,496,410",,GBPJPY,EURNZD,GBPUSD,EURCAD,CHFJPY,EURJPY,GBPCHF,
CAD,"100,000","182,798","13,333,468,918","85,202","6,214,719,082","26,751","2,675,100,000","58,451","5,845,100,000","-31,700",-17.34%,-37.21%,4.64%,"-3,170,000,000","-2,312,229,700",,24.30%,23.20%,22.00%,15.40%,15.10%,11.20%,9.20%,
AUD,"100,000","257,694","18,058,680,132","88,009","6,167,494,702","68,577","6,857,700,000","19,432","1,943,200,000","49,145",19.07%,55.84%,7.01%,"4,914,500,000","3,443,983,310",,EURUSD,USDCAD,USDJPY,EURCHF,CADJPY,NZDCAD,NZDJPY,
NZD,"100,000","65,011","3,790,921,432","31,652","1,845,691,424","7,461","746,100,000","24,191","2,419,100,000","-16,730",-25.73%,-52.86%,5.65%,"-1,673,000,000","-975,559,760",,8.80%,6.60%,2.40%,-4.00%,-4.20%,-7.80%,-12.00%,
CHF,"125,000","76,518","12,140,824,118","15,665","2,485,506,806","7,950","993,750,000","7,715","964,375,000",235,0.31%,1.50%,-2.11%,"29,375,000","37,286,569",,USDCHF,EURGBP,NZDUSD,GBPAUD,CADCHF,NZDCHF,EURAUD,
JPY,"12,500,000","328,210","25,764,485,000","190,694","14,969,479,000","67,921","849,012,500,000","122,773","1,534,662,500,000","-54,852",-16.71%,-28.76%,3.37%,"-685,650,000,000","-4,305,882,000",,-12.80%,-13.20%,-14.40%,-18.00%,-19.40%,-27.20%,-31.10%,
SP500 (E-MINI),"265,000","1,879,423","498,047,095,000","615,715","163,164,475,000","135,794","35,985,410,000","479,921","127,179,065,000",-344127,-18.31%,-55.89%,-2.68%,"-91,193,655,000","-91,193,655,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","235,906","87,285,220,000","133,385","49,352,450,000","47,003","17,391,110,000","86,382","31,961,340,000",-39379,-16.69%,-29.52%,-6.08%,"-14,570,230,000","-14,570,230,000",,,,,,,,,
US30 (YM),"200,000","67,922","13,584,400,000","25,487","5,097,400,000","11,214","2,242,800,000","14,273","2,854,600,000",-3059,-4.50%,-12%,-15.23%,"-611,800,000","-611,800,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of March 17, 2026 - COT Leveraged Funds >>> valid for trades from March 23, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"99,710","35,456","3,535,317,760","27,953","2,787,193,630","11,169","1,113,660,990","16,784","1,673,532,640","-5,615",-15.84%,-20.09%,19.63%,"-559,871,650","-559,871,650",,AUDNZD,AUDCAD,AUDJPY,GBPNZD,AUDUSD,GBPCAD,EURNZD,
EUR,"125,000","755,789","108,031,534,924","220,788","31,559,160,735","106,918","13,364,750,000","113,870","14,233,750,000","-6,952",-0.92%,-3.15%,-5.69%,"-869,000,000","-993,710,190",,53.70%,45.30%,40.50%,36.50%,34.50%,28.10%,27.70%,
GBP,"62,500","243,434","20,155,878,761","81,644","6,759,970,118","46,706","2,919,125,000","34,938","2,183,625,000","11,768",4.83%,14.41%,-11.52%,"735,500,000","974,368,335",,GBPJPY,AUDCHF,EURCAD,CHFJPY,GBPUSD,EURJPY,USDCAD,
CAD,"100,000","247,753","18,068,626,290","90,438","6,595,643,340","26,293","2,629,300,000","64,145","6,414,500,000","-37,852",-15.28%,-41.85%,-2.18%,"-3,785,200,000","-2,760,546,360",,23.30%,22.60%,19.40%,17.90%,17.30%,14.50%,10.90%,
AUD,"100,000","265,675","18,612,393,475","92,889","6,507,524,673","69,124","6,912,400,000","23,765","2,376,500,000","45,359",17.07%,48.83%,-1.03%,"4,535,900,000","3,177,715,463",,EURUSD,USDJPY,GBPCHF,EURCHF,CADJPY,NZDCAD,EURGBP,
NZD,"100,000","64,084","3,715,141,732","27,205","1,577,155,465","5,644","564,400,000","21,561","2,156,100,000","-15,917",-24.84%,-58.51%,-43.40%,"-1,591,700,000","-922,756,241",,8.50%,6.00%,5.40%,-3.40%,-4.90%,-8.30%,-8.80%,
CHF,"125,000","74,101","11,726,020,119","14,203","2,247,535,981","7,358","919,750,000","6,845","855,625,000",513,0.69%,3.61%,-21.24%,"64,125,000","81,179,044",,USDCHF,NZDJPY,GBPAUD,NZDUSD,CADCHF,EURAUD,NZDCHF,
JPY,"12,500,000","326,688","25,604,172,000","203,635","15,959,893,125","69,103","863,787,500,000","134,532","1,681,650,000,000","-65,429",-20.03%,-32.13%,-8.04%,"-817,862,500,000","-5,127,997,875",,-11.80%,-13.20%,-17.20%,-19.20%,-22.70%,-26.00%,-31.10%,
SP500 (E-MINI),"265,000","2,330,659","617,624,635,000","639,969","169,591,785,000","149,731","39,678,715,000","490,238","129,913,070,000",-340507,-14.61%,-53.21%,-0.39%,"-90,234,355,000","-90,234,355,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","300,943","111,348,910,000","134,224","49,662,880,000","51,381","19,010,970,000","82,843","30,651,910,000",-31462,-10.45%,-23.44%,-4.27%,"-11,640,940,000","-11,640,940,000",,,,,,,,,
US30 (YM),"200,000","91,467","18,293,400,000","40,681","8,136,200,000","20,997","4,199,400,000","19,684","3,936,800,000",1313,1.44%,3.23%,-1.90%,"262,600,000","262,600,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of March 10, 2026 - COT Leveraged Funds >>> valid for trades from March 16, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"99,180","32,012","3,174,950,160","29,417","2,917,578,060","8,867","879,429,060","20,550","2,038,149,000","-11,683",-36.50%,-39.72%,-21.40%,"-1,158,719,940","-1,158,719,940",,AUDUSD,AUDCAD,AUDJPY,GBPUSD,GBPCAD,AUDNZD,GBPJPY,
EUR,"125,000","969,374","139,629,842,678","205,953","29,665,727,561","105,592","13,199,000,000","100,361","12,545,125,000","5,231",0.54%,2.54%,-10.50%,"653,875,000","753,479,779",,44.80%,44.80%,37.00%,32.80%,32.80%,32.50%,25.00%,
GBP,"62,500","392,591","32,636,825,938","77,534","6,445,546,796","48,818","3,051,125,000","28,716","1,794,750,000","20,102",5.12%,25.93%,-8.01%,"1,256,375,000","1,671,116,951",,CHFJPY,EURUSD,EURCAD,GBPNZD,EURJPY,AUDCHF,NZDUSD,
CAD,"100,000","288,392","21,202,003,056","93,663","6,885,916,434","28,252","2,825,200,000","65,411","6,541,100,000","-37,159",-12.88%,-39.67%,5.66%,"-3,715,900,000","-2,731,855,362",,24.50%,21.10%,21.10%,20.50%,13.30%,12.50%,12.30%,
AUD,"100,000","315,898","22,006,086,476","93,392","6,505,873,504","69,980","6,998,000,000","23,412","2,341,200,000","46,568",14.74%,49.86%,0.51%,"4,656,800,000","3,244,020,016",,NZDCAD,EURNZD,NZDJPY,GBPCHF,USDCAD,USDJPY,CADJPY,
NZD,"100,000","84,215","4,926,745,930","27,564","1,612,549,128","11,699","1,169,900,000","15,865","1,586,500,000","-4,166",-4.95%,-15.11%,16.44%,"-416,600,000","-243,719,332",,12.30%,8.80%,4.50%,0.50%,0.00%,-7.80%,-7.80%,
CHF,"125,000","110,897","17,744,213,106","17,220","2,755,307,625","10,750","1,343,750,000","6,470","808,750,000","4,280",3.86%,24.85%,0.65%,"535,000,000","684,826,750",,EURCHF,EURGBP,GBPAUD,NZDCHF,EURAUD,USDCHF,CADCHF,
JPY,"12,500,000","427,718","33,736,257,250","204,311","16,115,030,125","77,546","969,325,000,000","126,765","1,584,562,500,000","-49,219",-11.51%,-24.09%,-7.93%,"-615,237,500,000","-3,882,148,625",,-11.20%,-11.70%,-12.00%,-20.00%,-23.70%,-32.30%,-32.30%,
SP500 (E-MINI),"265,000","1,996,720","529,130,800,000","662,583","175,584,495,000","156,297","41,418,705,000","506,286","134,165,790,000",-349989,-17.53%,-52.82%,3.57%,"-92,747,085,000","-92,747,085,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","259,842","96,141,540,000","131,281","48,573,970,000","53,057","19,631,090,000","78,224","28,942,880,000",-25167,-9.69%,-19.17%,-2.86%,"-9,311,790,000","-9,311,790,000",,,,,,,,,
US30 (YM),"200,000","71,187","14,237,400,000","37,325","7,465,000,000","19,620","3,924,000,000","17,705","3,541,000,000",1915,2.69%,5.13%,2.58%,"383,000,000","383,000,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of March 3, 2026 - COT Leveraged Funds >>> valid for trades from March 9, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"98,380","29,871","2,938,708,980","24,825","2,442,283,500","10,139","997,474,820","14,686","1,444,808,680","-4,547",-15.22%,-18.32%,-21.95%,"-447,333,860","-447,333,860",,AUDCAD,AUDNZD,GBPCAD,AUDUSD,AUDJPY,GBPNZD,EURCAD,
EUR,"125,000","913,289","134,246,633,333","227,254","33,404,633,595","128,443","16,055,375,000","98,811","12,351,375,000","29,632",3.24%,13.04%,-4.90%,"3,704,000,000","4,355,681,760",,47.30%,40.50%,39.60%,33.80%,32.80%,32.70%,29.20%,
GBP,"62,500","269,696","22,598,164,960","101,654","8,517,715,728","68,080","4,255,000,000","33,574","2,098,375,000","34,506",12.79%,33.94%,-6.96%,"2,156,625,000","2,891,300,873",,GBPUSD,GBPJPY,EURNZD,CHFJPY,EURUSD,EURJPY,USDCAD,
CAD,"100,000","232,433","17,005,030,713","91,259","6,676,599,699","24,944","2,494,400,000","66,315","6,631,500,000","-41,371",-17.80%,-45.33%,-4.67%,"-4,137,100,000","-3,026,743,731",,26.10%,25.00%,22.30%,20.20%,15.70%,14.60%,13.50%,
AUD,"100,000","267,280","18,864,889,680","110,703","7,813,528,443","82,669","8,266,900,000","28,034","2,803,400,000","54,635",20.44%,49.35%,-4.15%,"5,463,500,000","3,856,192,935",,AUDCHF,NZDCAD,GBPCHF,USDJPY,EURCHF,NZDUSD,GBPAUD,
NZD,"100,000","79,462","4,734,107,574","32,633","1,944,176,241","11,169","1,116,900,000","21,464","2,146,400,000","-10,295",-12.96%,-31.55%,2.79%,"-1,029,500,000","-613,345,215",,12.60%,6.90%,4.90%,-1.10%,-5.60%,-6.60%,-7.70%,
CHF,"125,000","105,413","17,122,892,421","18,412","2,990,776,235","11,434","1,429,250,000","6,978","872,250,000","4,456",4.23%,24.20%,1.04%,"557,000,000","723,815,930",,NZDJPY,EURGBP,CADJPY,EURAUD,USDCHF,NZDCHF,CADCHF,
JPY,"12,500,000","416,977","33,253,915,750","211,757","16,887,620,750","88,766","1,109,575,000,000","122,991","1,537,387,500,000","-34,225",-8.21%,-16.16%,-3.05%,"-427,812,500,000","-2,729,443,750",,-7.70%,-10.40%,-14.60%,-18.20%,-21.30%,-27.90%,-34.80%,
SP500 (E-MINI),"265,000","2,060,733","546,094,245,000","720,588","190,955,820,000","157,124","41,637,860,000","563,464","149,317,960,000",-406340,-19.72%,-56.39%,10.51%,"-107,680,100,000","-107,680,100,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","273,307","101,123,590,000","133,599","49,431,630,000","55,905","20,684,850,000","77,694","28,746,780,000",-21789,-7.97%,-16.31%,-3.46%,"-8,061,930,000","-8,061,930,000",,,,,,,,,
US30 (YM),"200,000","71,894","14,378,800,000","38,757","7,751,400,000","19,872","3,974,400,000","18,885","3,777,000,000",987,1.37%,2.55%,15.58%,"197,400,000","197,400,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of February 24, 2026 - COT Leveraged Funds >>> valid for trades from March 2, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"97,700","26,218","2,561,498,600","23,390","2,285,203,000","12,120","1,184,124,000","11,270","1,101,079,000",850,3.24%,3.63%,-4.29%,"83,045,000","83,045,000",,AUDCAD,AUDNZD,GBPCAD,GBPNZD,AUDJPY,EURCAD,GBPJPY,
EUR,"125,000","911,287","134,810,103,236","205,131","30,345,798,071","120,964","15,120,500,000","84,167","10,520,875,000","36,797",4.04%,17.94%,-2.85%,"4,599,625,000","5,443,518,199",,47.10%,43.90%,40.80%,37.60%,33.30%,29.30%,27.00%,
GBP,"62,500","245,891","20,798,229,189","98,177","8,304,117,463","69,164","4,322,750,000","29,013","1,813,312,500","40,151",16.33%,40.90%,1.46%,"2,509,437,500","3,396,097,052",,EURNZD,AUDUSD,USDCAD,GBPUSD,CHFJPY,EURJPY,AUDCHF,
CAD,"100,000","222,562","16,306,672,616","83,861","6,144,327,748","24,880","2,488,000,000","58,981","5,898,100,000","-34,101",-15.32%,-40.66%,8.19%,"-3,410,100,000","-2,498,512,068",,26.10%,24.90%,22.10%,18.60%,18.10%,15.50%,15.20%,
AUD,"100,000","248,697","17,685,838,458","120,849","8,594,055,786","92,751","9,275,100,000","28,098","2,809,800,000","64,653",26%,53.50%,1.89%,"6,465,300,000","4,597,733,442",,GBPCHF,USDJPY,EURUSD,NZDCAD,EURCHF,GBPAUD,USDCHF,
NZD,"100,000","71,503","4,293,040,120","29,884","1,794,235,360","9,811","981,100,000","20,073","2,007,300,000","-10,262",-14.35%,-34.34%,5.42%,"-1,026,200,000","-616,130,480",,8.90%,8.40%,7.20%,3.20%,-2.60%,-6.30%,-9.80%,
CHF,"125,000","96,835","15,685,333,300","16,681","2,701,988,380","10,272","1,284,000,000","6,409","801,125,000","3,863",3.99%,23.16%,4.60%,"482,875,000","625,728,740",,NZDJPY,EURGBP,CADJPY,EURAUD,NZDUSD,NZDCHF,CADCHF,
JPY,"12,500,000","369,721","29,947,401,000","200,665","16,253,865,000","87,174","1,089,675,000,000","113,491","1,418,637,500,000","-26,317",-7.12%,-13.11%,1.94%,"-328,962,500,000","-2,131,677,000",,-10.60%,-11.50%,-13.80%,-17.80%,-19.00%,-28.70%,-31.90%,
SP500 (E-MINI),"265,000","2,017,196","534,556,940,000","710,614","188,312,710,000","117,617","31,168,505,000","592,997","157,144,205,000",-475380,-23.57%,-66.90%,-0.71%,"-125,975,700,000","-125,975,700,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","270,599","100,121,630,000","128,820","47,663,400,000","56,133","20,769,210,000","72,687","26,894,190,000",-16554,-6.12%,-12.85%,-6.05%,"-6,124,980,000","-6,124,980,000",,,,,,,,,
US30 (YM),"200,000","69,944","13,988,800,000","38,029","7,605,800,000","16,536","3,307,200,000","21,493","4,298,600,000",-4957,-7.09%,-13.03%,7.46%,"-991,400,000","-991,400,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of February 17, 2026 - COT Leveraged Funds >>> valid for trades from February 23, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"97,160","26,596","2,584,067,360","23,896","2,321,735,360","12,894","1,252,781,040","11,002","1,068,954,320","1,892",7.11%,7.92%,-1.99%,"183,826,720","183,826,720",,AUDCAD,AUDNZD,GBPCAD,GBPNZD,EURCAD,AUDJPY,EURNZD,
EUR,"125,000","916,813","136,003,478,469","209,455","31,071,340,156","126,502","15,812,750,000","82,953","10,369,125,000","43,549",4.75%,20.79%,-2.54%,"5,443,625,000","6,460,221,969",,50.20%,45.70%,44.10%,39.60%,34.80%,33.30%,30.30%,
GBP,"62,500","238,845","20,373,179,944","107,410","9,161,938,738","74,888","4,680,500,000","32,522","2,032,625,000","42,366",17.74%,39.44%,-2.54%,"2,647,875,000","3,613,766,843",,USDCAD,GBPJPY,AUDUSD,EURJPY,CHFJPY,AUDCHF,GBPUSD,
CAD,"100,000","218,415","16,038,868,695","86,042","6,318,322,186","22,004","2,200,400,000","64,038","6,403,800,000","-42,034",-19.25%,-48.85%,8.52%,"-4,203,400,000","-3,086,682,722",,28.40%,27.20%,21.80%,17.90%,16.80%,16.50%,15.80%,
AUD,"100,000","256,213","18,115,283,952","136,132","9,625,076,928","103,196","10,319,600,000","32,936","3,293,600,000","70,260",27.42%,51.61%,1.61%,"7,026,000,000","4,967,663,040",,USDJPY,GBPCHF,EURUSD,NZDCAD,EURCHF,USDCHF,GBPAUD,
NZD,"100,000","73,004","4,404,915,352","31,351","1,891,656,638","9,443","944,300,000","21,908","2,190,800,000","-12,465",-17.07%,-39.76%,-5.42%,"-1,246,500,000","-752,113,170",,11.50%,10.40%,6.40%,4.50%,1.10%,-5.30%,-6.10%,
CHF,"125,000","95,743","15,578,941,924","13,227","2,152,247,839","7,841","980,125,000","5,386","673,250,000","2,455",2.56%,18.56%,23.69%,"306,875,000","399,468,394",,EURGBP,NZDJPY,EURAUD,CADJPY,NZDUSD,NZDCHF,CADCHF,
JPY,"12,500,000","354,328","29,010,605,000","194,887","15,956,373,125","82,783","1,034,787,500,000","112,104","1,401,300,000,000","-29,321",-8.28%,-15.05%,12.77%,"-366,512,500,000","-2,400,656,875",,-9.30%,-12.40%,-15.40%,-16.90%,-23.80%,-29.20%,-33.70%,
SP500 (E-MINI),"265,000","1,966,090","521,013,850,000","701,474","185,890,610,000","118,591","31,426,615,000","582,883","154,463,995,000",-464292,-23.61%,-66.19%,-3.04%,"-123,037,380,000","-123,037,380,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","272,951","100,991,870,000","137,020","50,697,400,000","63,852","23,625,240,000","73,168","27,072,160,000",-9316,-3.41%,-6.80%,0.30%,"-3,446,920,000","-3,446,920,000",,,,,,,,,
US30 (YM),"200,000","68,377","13,675,400,000","37,830","7,566,000,000","15,039","3,007,800,000","22,791","4,558,200,000",-7752,-11.34%,-20.49%,5%,"-1,550,400,000","-1,550,400,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of February 10, 2026 - COT Leveraged Funds >>> valid for trades from February 16, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"96,820","27,789","2,690,530,980","26,743","2,589,257,260","14,696","1,422,866,720","12,047","1,166,390,540","2,649",9.53%,9.91%,7.17%,"256,476,180","256,476,180",,AUDCAD,GBPCAD,AUDNZD,EURCAD,AUDJPY,GBPNZD,GBPJPY,
EUR,"125,000","926,273","136,923,990,543","215,182","31,808,741,195","132,693","16,586,625,000","82,489","10,311,125,000","50,204",5.42%,23.33%,2.86%,"6,275,500,000","7,421,280,790",,53.70%,49.70%,42.20%,40.30%,38.90%,38.20%,34.90%,
GBP,"62,500","227,574","19,356,591,038","103,571","8,809,360,869","73,525","4,595,312,500","30,046","1,877,875,000","43,479",19.11%,41.98%,10.22%,"2,717,437,500","3,698,160,694",,USDCAD,EURNZD,AUDCHF,EURJPY,GBPCHF,AUDUSD,USDJPY,
CAD,"100,000","215,037","15,743,288,844","88,906","6,508,986,072","18,949","1,894,900,000","69,957","6,995,700,000","-51,008",-23.72%,-57.37%,1.54%,"-5,100,800,000","-3,734,397,696",,33.60%,28.80%,27.60%,25.60%,23.60%,20.00%,18.90%,
AUD,"100,000","247,194","17,386,884,378","129,810","9,130,445,970","97,357","9,735,700,000","32,453","3,245,300,000","64,904",26.26%,50%,6.79%,"6,490,400,000","4,565,152,648",,GBPUSD,EURCHF,NZDCAD,CHFJPY,USDCHF,EURUSD,NZDJPY,
NZD,"100,000","71,848","4,334,158,752","31,411","1,894,837,164","10,313","1,031,300,000","21,098","2,109,800,000","-10,785",-15.01%,-34.34%,-3.44%,"-1,078,500,000","-650,594,340",,16.00%,14.20%,11.50%,11.30%,7.50%,6.70%,-3.30%,
CHF,"125,000","95,799","15,434,895,383","15,596","2,512,788,530","7,398","924,750,000","8,198","1,024,750,000",-800,-0.84%,-5.13%,-7.55%,"-100,000,000","-128,894,000",,GBPAUD,EURGBP,EURAUD,NZDCHF,CADJPY,NZDUSD,CADCHF,
JPY,"12,500,000","334,948","26,628,366,000","193,633","15,393,823,500","69,883","873,537,500,000","123,750","1,546,875,000,000","-53,867",-16.08%,-27.82%,3.98%,"-673,337,500,000","-4,282,426,500",,-4.00%,-9.30%,-13.30%,-14.60%,-14.80%,-22.10%,-26.10%,
SP500 (E-MINI),"265,000","1,934,958","512,763,870,000","670,906","177,790,090,000","123,601","32,754,265,000","547,305","145,035,825,000",-423704,-21.90%,-63.15%,-0.32%,"-112,281,560,000","-112,281,560,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","263,282","97,414,340,000","121,139","44,821,430,000","56,269","20,819,530,000","64,870","24,001,900,000",-8601,-3.27%,-7.10%,1.81%,"-3,182,370,000","-3,182,370,000",,,,,,,,,
US30 (YM),"200,000","72,216","14,443,200,000","43,548","8,709,600,000","16,224","3,244,800,000","27,324","5,464,800,000",-11100,-15.37%,-25.49%,1.25%,"-2,220,000,000","-2,220,000,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of February 3, 2026 - COT Leveraged Funds >>> valid for trades from February 9, 2026",,,,,,,,,,,,,,,,,,,,,,,,
Currency,Contract Value,Open Interest TOTAL,Open Interest TOTAL USD,Open Interest LF,Open Interest LF USD,Long Positions,Long Value,Short Positions,Short Value,Net Positions,Net Percent,Net Percent LF,Net % LF Δ,Net Value (Base Currency),Net Value USD,,Currency Pairs - LF Strength Index,,,,,,,
USD,"97,610","28,190","2,751,625,900","27,581","2,692,181,410","14,169","1,383,036,090","13,412","1,309,145,320",757,2.69%,2.74%,1.56%,"73,890,770","73,890,770",,AUDCAD,GBPCAD,EURCAD,AUDJPY,AUDNZD,GBPJPY,GBPNZD,
EUR,"125,000","910,464","134,853,375,360","205,479","30,434,522,085","123,767","15,470,875,000","81,712","10,214,000,000","42,055",4.62%,20.47%,7.58%,"5,256,875,000","6,228,976,325",,51.10%,45.30%,39.70%,37.50%,37.10%,31.80%,31.30%,
GBP,"62,500","227,888","19,483,142,130","111,481","9,530,998,419","73,446","4,590,375,000","38,035","2,377,187,500","35,411",15.54%,31.76%,-2.74%,"2,213,187,500","3,027,441,313",,USDCAD,EURJPY,EURNZD,AUDCHF,AUDUSD,USDJPY,CHFJPY,CHFJPY
CAD,"100,000","216,252","15,859,056,672","89,717","6,579,485,912","18,431","1,843,100,000","71,286","7,128,600,000","-52,855",-24.44%,-58.91%,-8.74%,"-5,285,500,000","-3,876,174,280",,30.80%,26.10%,25.70%,20.40%,20.20%,17.30%,17.10%,
AUD,"100,000","254,240","17,660,273,120","137,487","9,550,259,481","98,448","9,844,800,000","39,039","3,903,900,000","59,409",23.37%,43.21%,11.54%,"5,940,900,000","4,126,727,367",,GBPCHF,GBPUSD,NZDCAD,EURCHF,EURUSD,NZDJPY,USDCHF,
NZD,"100,000","71,304","4,288,579,080","34,293","2,062,552,485","11,848","1,184,800,000","22,445","2,244,500,000","-10,597",-14.86%,-30.90%,-3.90%,"-1,059,700,000","-637,356,565",,14.70%,14.50%,14.00%,9.00%,8.90%,0.50%,0.20%,
CHF,"125,000","93,555","15,117,552,450","14,905","2,408,498,950","7,633","954,125,000","7,272","909,000,000",361,0.39%,2.42%,6.37%,"45,125,000","58,333,990",,EURGBP,GBPAUD,EURAUD,CADJPY,NZDCHF,NZDUSD,CADCHF,
JPY,"12,500,000","303,673","24,445,676,500","171,250","13,785,625,000","58,399","729,987,500,000","112,851","1,410,637,500,000","-54,452",-17.93%,-31.80%,8.99%,"-680,650,000,000","-4,383,386,000",,-5.60%,-5.70%,-11.40%,-13.60%,-16.70%,-16.80%,-30.70%,
SP500 (E-MINI),"265,000","1,928,476","511,046,140,000","713,217","189,002,505,000","132,546","35,124,690,000","580,671","153,877,815,000",-448125,-23.24%,-62.83%,2.85%,"-118,753,125,000","-118,753,125,000",,,,,,,,,
NAS100 (NQ MINI),"370,000","268,823","99,464,510,000","127,774","47,276,380,000","58,197","21,532,890,000","69,577","25,743,490,000",-11380,-4.23%,-8.91%,4.43%,"-4,210,600,000","-4,210,600,000",,,,,,,,,
US30 (YM),"200,000","70,011","14,002,200,000","44,503","8,900,600,000","16,302","3,260,400,000","28,201","5,640,200,000",-11899,-17%,-26.74%,5.08%,"-2,379,800,000","-2,379,800,000",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
"Week of January 27, 2026 - COT Leveraged Funds >>> valid for trades from February 2, 2026",,,,,,,,,,,,,,,,,,,,,,,,
